,nodeA,nodeB,weight
0,Daniel Greenfield,Journalism Fellow,1
1,Daniel Greenfield,Hillary Rodham Clinton,1
2,Daniel Greenfield,Hillary,9
3,Daniel Greenfield,James Comey,2
4,Comey,Daniel Greenfield,6
5,Clintons,Daniel Greenfield,2
6,Daniel Greenfield,Hillary Clinton,8
7,Daniel Greenfield,J. Edgar Hoover,1
8,Daniel Greenfield,James Comey Role Recalls Hoover,1
9,Daniel Greenfield,James Carville,1
10,Daniel Greenfield,Harry Reid,1
11,Daniel Greenfield,Vladimir Putin,1
12,Daniel Greenfield,Paul Ryan,1
13,Anthony Weiner,Daniel Greenfield,1
14,Clinton,Daniel Greenfield,5
15,Daniel Greenfield,Huma Abedin,1
16,Hillary Rodham Clinton,Journalism Fellow,1
17,Hillary,Journalism Fellow,9
18,James Comey,Journalism Fellow,2
19,Comey,Journalism Fellow,6
20,Clintons,Journalism Fellow,2
21,Hillary Clinton,Journalism Fellow,8
22,J. Edgar Hoover,Journalism Fellow,1
23,James Comey Role Recalls Hoover,Journalism Fellow,1
24,James Carville,Journalism Fellow,1
25,Harry Reid,Journalism Fellow,1
26,Journalism Fellow,Vladimir Putin,1
27,Journalism Fellow,Paul Ryan,1
28,Anthony Weiner,Journalism Fellow,1
29,Clinton,Journalism Fellow,5
30,Huma Abedin,Journalism Fellow,1
31,Hillary,Hillary Rodham Clinton,9
32,Hillary Rodham Clinton,James Comey,2
33,Comey,Hillary Rodham Clinton,6
34,Clintons,Hillary Rodham Clinton,2
35,Hillary Clinton,Hillary Rodham Clinton,8
36,Hillary Rodham Clinton,J. Edgar Hoover,1
37,Hillary Rodham Clinton,James Comey Role Recalls Hoover,1
38,Hillary Rodham Clinton,James Carville,1
39,Harry Reid,Hillary Rodham Clinton,1
40,Hillary Rodham Clinton,Vladimir Putin,1
41,Hillary Rodham Clinton,Paul Ryan,2
42,Anthony Weiner,Hillary Rodham Clinton,1
43,Clinton,Hillary Rodham Clinton,10
44,Hillary Rodham Clinton,Huma Abedin,1
45,Hillary,James Comey,20
46,Hillary,Hillary,73
47,Comey,Hillary,54
48,Clintons,Hillary,27
49,Hillary,Hillary Clinton,109
50,Hillary,J. Edgar Hoover,9
51,Hillary,James Comey Role Recalls Hoover,9
52,Hillary,James Carville,9
53,Harry Reid,Hillary,15
54,Hillary,Vladimir Putin,9
55,Hillary,Paul Ryan,31
56,Anthony Weiner,Hillary,9
57,Clinton,Hillary,92
58,Hillary,Huma Abedin,9
59,Comey,James Comey,16
60,Clintons,James Comey,5
61,Hillary Clinton,James Comey,17
62,J. Edgar Hoover,James Comey,3
63,James Comey,James Comey Role Recalls Hoover,2
64,James Carville,James Comey,2
65,Harry Reid,James Comey,2
66,James Comey,James Comey,1
67,James Comey,Vladimir Putin,2
68,James Comey,Paul Ryan,2
69,Anthony Weiner,James Comey,3
70,Clinton,James Comey,13
71,Huma Abedin,James Comey,2
72,Clintons,Comey,14
73,Comey,Hillary Clinton,50
74,Comey,Comey,22
75,Comey,J. Edgar Hoover,10
76,Comey,James Comey Role Recalls Hoover,6
77,Comey,James Carville,6
78,Comey,Harry Reid,6
79,Comey,Vladimir Putin,6
80,Comey,Paul Ryan,6
81,Anthony Weiner,Comey,10
82,Clinton,Comey,42
83,Comey,Huma Abedin,6
84,Clintons,Hillary Clinton,19
85,Clintons,J. Edgar Hoover,2
86,Clintons,James Comey Role Recalls Hoover,2
87,Clintons,James Carville,2
88,Clintons,Harry Reid,2
89,Clintons,Vladimir Putin,2
90,Clintons,Paul Ryan,2
91,Anthony Weiner,Clintons,2
92,Clinton,Clintons,33
93,Clintons,Clintons,2
94,Clintons,Huma Abedin,2
95,Hillary Clinton,J. Edgar Hoover,8
96,Hillary Clinton,James Comey Role Recalls Hoover,8
97,Hillary Clinton,James Carville,8
98,Harry Reid,Hillary Clinton,10
99,Hillary Clinton,Hillary Clinton,47
100,Hillary Clinton,Vladimir Putin,8
101,Hillary Clinton,Paul Ryan,18
102,Anthony Weiner,Hillary Clinton,8
103,Clinton,Hillary Clinton,218
104,Hillary Clinton,Huma Abedin,8
105,J. Edgar Hoover,James Comey Role Recalls Hoover,1
106,J. Edgar Hoover,James Carville,1
107,Harry Reid,J. Edgar Hoover,1
108,J. Edgar Hoover,Vladimir Putin,1
109,J. Edgar Hoover,Paul Ryan,1
110,Anthony Weiner,J. Edgar Hoover,2
111,Clinton,J. Edgar Hoover,7
112,Huma Abedin,J. Edgar Hoover,1
113,James Carville,James Comey Role Recalls Hoover,1
114,Harry Reid,James Comey Role Recalls Hoover,1
115,James Comey Role Recalls Hoover,Vladimir Putin,1
116,James Comey Role Recalls Hoover,Paul Ryan,1
117,Anthony Weiner,James Comey Role Recalls Hoover,1
118,Clinton,James Comey Role Recalls Hoover,5
119,Huma Abedin,James Comey Role Recalls Hoover,1
120,Harry Reid,James Carville,1
121,James Carville,Vladimir Putin,1
122,James Carville,Paul Ryan,1
123,Anthony Weiner,James Carville,1
124,Clinton,James Carville,5
125,Huma Abedin,James Carville,1
126,Harry Reid,Vladimir Putin,1
127,Harry Reid,Paul Ryan,2
128,Anthony Weiner,Harry Reid,1
129,Clinton,Harry Reid,5
130,Harry Reid,Huma Abedin,1
131,Paul Ryan,Vladimir Putin,1
132,Anthony Weiner,Vladimir Putin,1
133,Clinton,Vladimir Putin,5
134,Huma Abedin,Vladimir Putin,1
135,Anthony Weiner,Paul Ryan,1
136,Clinton,Paul Ryan,19
137,Huma Abedin,Paul Ryan,1
138,Anthony Weiner,Clinton,7
139,Anthony Weiner,Huma Abedin,1
140,Clinton,Clinton,999
141,Clinton,Huma Abedin,5
142,Paul Ryan,Paul Ryan,16
143,Paul Ryan,Ryan,27
144,Ryan,Ryan,10
145,John F. Kerry,Kerry,6
146,John F. Kerry,Laurent Fabius,1
147,Francois Hollande,John F. Kerry,1
148,John F. Kerry,Obama,1
149,Benjamin Netanyahu,John F. Kerry,1
150,Jane Hartley,John F. Kerry,1
151,John F. Kerry,Victoria Nuland,1
152,Eric H. Holder Jr.,John F. Kerry,1
153,John F. Kerry,Narendra Modi,1
154,Kerry,Laurent Fabius,7
155,Francois Hollande,Kerry,6
156,Kerry,Kerry,31
157,Kerry,Obama,13
158,Benjamin Netanyahu,Kerry,6
159,Jane Hartley,Kerry,6
160,Kerry,Victoria Nuland,6
161,Eric H. Holder Jr.,Kerry,6
162,Kerry,Narendra Modi,6
163,Francois Hollande,Laurent Fabius,1
164,Laurent Fabius,Obama,2
165,Benjamin Netanyahu,Laurent Fabius,1
166,Jane Hartley,Laurent Fabius,1
167,Laurent Fabius,Victoria Nuland,1
168,Eric H. Holder Jr.,Laurent Fabius,1
169,Laurent Fabius,Narendra Modi,1
170,Francois Hollande,Obama,1
171,Benjamin Netanyahu,Francois Hollande,1
172,Francois Hollande,Jane Hartley,1
173,Francois Hollande,Victoria Nuland,1
174,Eric H. Holder Jr.,Francois Hollande,1
175,Francois Hollande,Narendra Modi,1
176,Benjamin Netanyahu,Obama,1
177,Jane Hartley,Obama,1
178,Obama,Victoria Nuland,1
179,Eric H. Holder Jr.,Obama,1
180,Narendra Modi,Obama,1
181,Benjamin Netanyahu,Jane Hartley,1
182,Benjamin Netanyahu,Victoria Nuland,1
183,Benjamin Netanyahu,Eric H. Holder Jr.,1
184,Benjamin Netanyahu,Narendra Modi,1
185,Jane Hartley,Victoria Nuland,1
186,Eric H. Holder Jr.,Jane Hartley,1
187,Jane Hartley,Narendra Modi,1
188,Eric H. Holder Jr.,Victoria Nuland,1
189,Narendra Modi,Victoria Nuland,1
190,Eric H. Holder Jr.,Narendra Modi,1
191,Paul Krugman,— Kaydee King (@KaydeeKing),1
192,Hillary Clinton,— Kaydee King (@KaydeeKing),5
193,Clinton,— Kaydee King (@KaydeeKing),4
194,Jill Stein,— Kaydee King (@KaydeeKing),1
195,Ralph Nader,— Kaydee King (@KaydeeKing),1
196,Ana Navarro,— Kaydee King (@KaydeeKing),2
197,pro-Sanders,— Kaydee King (@KaydeeKing),1
198,Trump,— Kaydee King (@KaydeeKing),1
199,Bernie Sanders,— Kaydee King (@KaydeeKing),1
200,Zach Cartwright,— Kaydee King (@KaydeeKing),1
201,Hillary Clinton,Paul Krugman,5
202,Clinton,Paul Krugman,4
203,Jill Stein,Paul Krugman,1
204,Paul Krugman,Ralph Nader,1
205,Ana Navarro,Paul Krugman,2
206,Paul Krugman,pro-Sanders,1
207,Paul Krugman,Trump,1
208,Bernie Sanders,Paul Krugman,1
209,Paul Krugman,Zach Cartwright,1
210,Hillary Clinton,Jill Stein,5
211,Hillary Clinton,Ralph Nader,5
212,Ana Navarro,Hillary Clinton,10
213,Hillary Clinton,pro-Sanders,5
214,Hillary Clinton,Trump,50
215,Bernie Sanders,Hillary Clinton,19
216,Hillary Clinton,Zach Cartwright,5
217,Clinton,Jill Stein,4
218,Clinton,Ralph Nader,4
219,Ana Navarro,Clinton,8
220,Clinton,pro-Sanders,4
221,Clinton,Trump,567
222,Bernie Sanders,Clinton,73
223,Clinton,Zach Cartwright,4
224,Jill Stein,Ralph Nader,1
