,degree,betweenness,eigenvector
Clinton,0.24301675977653633,0.2726187825682959,0.3537197465848132
Putin,0.22905027932960895,0.35180270761507737,0.19639299767958193
Bush,0.1675977653631285,0.1684079006143573,0.31374679360696844
Trump,0.14804469273743018,0.0587531808973916,0.28836540033045527
Ayotte,0.13128491620111732,0.19877673406104798,0.07220749826002133
Cruz,0.13128491620111732,0.10793890094547906,0.2467947445031225
Hillary,0.111731843575419,0.06455257182749974,0.25301197146956267
Obama,0.09217877094972067,0.22323850684256985,0.2486333573918714
Hillary Clinton,0.09217877094972067,0.10175144962685684,0.23317156074980455
Kerry,0.06983240223463687,0.11021391796942231,0.022030277966814706
Frank,0.06145251396648045,0.061075831852060704,0.06684951571340507
Perry,0.06145251396648045,0.060636484426211126,0.10291858023846685
Suruc,0.0558659217877095,0.0007980845969672786,0.0035178339606393248
Smoke,0.0558659217877095,0.0007980845969672786,0.0035178339606393248
Mateen,0.05307262569832402,0.07352498469498958,0.020834269005098327
Jeb Bush,0.05307262569832402,0.00551242305031453,0.1746842243084171
Donald Trump,0.05027932960893855,0.07038161257905275,0.1821811490934481
McConnell,0.05027932960893855,0.060340296705822215,0.05658191863540676
Ted Cruz,0.04189944134078213,0.030821721611886205,0.1830842025599513
Brown,0.03910614525139665,0.02205131798712911,0.0056034177493884205
Wilson,0.03910614525139665,0.02205131798712911,0.0056034177493884205
Geller,0.036312849162011177,0.05067662695121499,0.0009639125853935906
George W. Bush,0.036312849162011177,0.01763151327277251,0.17466196604891107
Jay Carney,0.030726256983240226,0.0005345681021273222,0.0896805056597538
Paul Ryan,0.02793296089385475,0.011517470857960245,0.10338676276429243
Comey,0.02793296089385475,0.0001983187044921234,0.08826707852252035
Paul,0.025139664804469275,6.65837591472124e-06,0.08194544988660486
Harbinger,0.0223463687150838,0.006731553754084873,0.06089729739535238
Kasich,0.0223463687150838,0.0,0.08819852553189754
Ferguson,0.019553072625698324,0.039220647895286606,0.04904097094109001
Rand Paul,0.019553072625698324,0.0017587668214399362,0.06336416544801828
Romney,0.019553072625698324,0.0008730381154211018,0.06041332251659078
Charlie Hebdo,0.01675977653631285,0.05891625995929662,0.012947499411491191
Jarrett,0.01675977653631285,0.00548487551445159,0.017525835910616485
Malloy,0.01675977653631285,0.0045547121828389235,0.04336814547743365
John Kasich,0.01675977653631285,0.004312968706288515,0.09451828855858825
Biden,0.01675977653631285,0.0038854329071648453,0.08891244558163228
Scalia,0.01675977653631285,0.0,0.08312004873786179
John Kerry,0.013966480446927375,0.015182385803483403,0.04947762556841984
James Comey,0.013966480446927375,0.011097433684608518,0.057983672028949475
Joe Biden,0.013966480446927375,0.003818976897394934,0.06974292517873006
Bernie Sanders,0.013966480446927375,0.0003172333576086478,0.06653318833858533
Marco Rubio,0.013966480446927375,0.0,0.0841514147951985
Ryan,0.013966480446927375,0.0,0.0501630718649311
Perez,0.0111731843575419,0.00548487551445159,0.016516646567419847
Reagan,0.0111731843575419,0.00517713748909162,0.06642258907320621
Baylee,0.0111731843575419,1.5648717587593696e-05,2.6196621661213244e-15
Maddow,0.0111731843575419,0.0,0.07359145128467191
Hillary Rodham Clinton,0.0111731843575419,0.0,0.07048722044094435
George W. Bush’s,0.0111731843575419,0.0,0.06653280873689728
Ben Carson,0.0111731843575419,0.0,0.06253969015317103
Harry Reid,0.0111731843575419,0.0,0.056898233768892165
Clintons,0.0111731843575419,0.0,0.056710730320534655
J. Edgar Hoover,0.0111731843575419,0.0,0.056710730320534655
Anthony Weiner,0.0111731843575419,0.0,0.056710730320534655
Michelle Obama,0.0111731843575419,0.0,0.04813120053670258
Al Gore,0.0111731843575419,0.0,0.04813120053670258
Sanders,0.0111731843575419,0.0,0.04259263868667104
Steve Kornacki,0.008379888268156424,0.019649278901994974,0.022296533013427003
Salman,0.008379888268156424,0.006627383842435595,0.04050327240874352
Moammar Gadhafi,0.008379888268156424,0.0,0.05839985110323093
Matt Lauer,0.008379888268156424,0.0,0.05839985110323093
Cavuto,0.008379888268156424,0.0,0.05839985110323093
Kessler,0.008379888268156424,0.0,0.05839985110323093
